geneid	mouse	human	marker.type
TIMM50	ENSMUSG00000003438	ENSG00000105197	brown
C1QBP	ENSMUSG00000018446	ENSG00000108561	brown
FLAD1	ENSMUSG00000042642	ENSG00000160688	brown
AURKAIP1	ENSMUSG00000065990	ENSG00000175756	brown
ACAT1	ENSMUSG00000032047	ENSG00000075239	brown
NNAT	ENSMUSG00000067786	ENSG00000053438	white
PRKCDBP	ENSMUSG00000037060	ENSG00000170955	white
IGF1	ENSMUSG00000020053	ENSG00000017427	white
COL3A1	ENSMUSG00000026043	ENSG00000168542	white
CCDC80	ENSMUSG00000022665	ENSG00000091986	white
LEP	ENSMUSG00000059201	ENSG00000174697	white
EEPD1	ENSMUSG00000036611	ENSG00000122547	white
NRIP1	ENSMUSG00000048490	ENSG00000180530	white
CCND2	ENSMUSG00000000184	ENSG00000118971	white
EEF2K	ENSMUSG00000035064	ENSG00000103319	white
GADD45A	ENSMUSG00000036390	ENSG00000116717	white
PYGB	ENSMUSG00000033059	ENSG00000100994	white
NDRG1	ENSMUSG00000005125	ENSG00000104419	white
DMRT2	ENSMUSG00000048138	ENSG00000173253	white
LPGAT1	ENSMUSG00000026623	ENSG00000123684	white
QSOX1	ENSMUSG00000033684	ENSG00000116260	white
NUPR1	ENSMUSG00000030717	ENSG00000176046	white
LRP1	ENSMUSG00000040249	ENSG00000123384	white
PIK3R1	ENSMUSG00000041417	ENSG00000145675	white
COL4A2	ENSMUSG00000031503	ENSG00000134871	white
ACVR1C	ENSMUSG00000026834	ENSG00000123612	white
